league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps,sf_wf,md_wf
LaLiga,2223,3918081,2022-12-30,8661,8305,0,0,0.5809877272695303,0.21968778036534786,0,3,0.0,0.3175665938880818,1.4809766660306878,0.3175665938880818,3.0,0.10585553129602726,1.4455359936722847,14.3
LaLiga,2223,3918081,2022-12-30,8305,8661,1,2,1.1909801699221134,0.8672835193574429,0,14,0.0,1.2536895439499574,1.4809766660306878,1.2536895439499574,14.0,0.08954925313928266,1.4455359936722847,14.3
LaLiga,2223,3918085,2022-12-30,8633,10281,0,2,1.567464990541339,1.119185258075595,1,18,0.1079,1.6178225741356775,1.4809766660306878,1.9757225741356774,20.079,0.09839745874474214,1.4455359936722847,14.3
LaLiga,2223,3918085,2022-12-30,10281,8633,1,0,0.57708371989429,0.57708371989429,0,14,-0.05395,0.8341952884694909,1.4809766660306878,0.7802452884694908,14.5395,0.05366383221358993,1.4455359936722847,14.3
LaLiga,2223,3918087,2022-12-30,9865,8385,0,1,2.320782272145152,1.3886654999107122,0,19,0.0,2.0073659632918512,1.4809766660306878,2.0073659632918512,19.0,0.10565084017325532,1.4455359936722847,14.3
LaLiga,2223,3918087,2022-12-30,8385,9865,1,1,1.3142194291576743,0.9781606098636985,0,12,0.0,1.4139663691504094,1.4809766660306878,1.4139663691504094,12.0,0.11783053076253412,1.4455359936722847,14.3
LaLiga,2223,3918079,2022-12-31,8558,8634,0,1,0.08887705765664577,0.08887705765664577,1,3,0.0,0.12852537950243456,1.4809766660306878,0.3785253795024346,4.0,0.09463134487560865,1.4461029976820354,14.7
LaLiga,2223,3918079,2022-12-31,8634,8558,1,1,2.3342760279774666,1.5661539889872076,0,21,0.0,2.2648199783060785,1.4809766660306878,2.2648199783060785,21.0,0.10784857039552755,1.4461029976820354,14.7
LaLiga,2223,3918084,2022-12-31,8371,8560,0,0,0.38123526982963085,0.38123526982963085,0,11,0.0,0.5513054665227488,1.4809766660306878,0.5513054665227488,11.0,0.050118678774795346,1.4461029976820354,14.7
LaLiga,2223,3918084,2022-12-31,8560,8371,1,2,1.3889435417950153,0.5669240638613702,0,9,0.0,0.8198305882080091,1.4809766660306878,0.8198305882080091,9.0,0.09109228757866768,1.4461029976820354,14.7
LaLiga,2223,3918086,2022-12-31,10267,10205,0,1,1.4661040101200342,1.093328857794404,0,13,0.0,1.5810661387087634,1.4809766660306878,1.5810661387087634,13.0,0.12162047220836641,1.4461029976820354,14.7
LaLiga,2223,3918086,2022-12-31,10205,10267,1,2,2.531127437017858,1.025302961282432,0,14,0.0,1.4826936858427928,1.4809766660306878,1.4826936858427928,14.0,0.10590669184591377,1.4461029976820354,14.7
LaLiga,2223,3918094,2023-01-06,9910,10268,0,1,2.0293875858187675,0.998596028983593,0,14,0.0415,1.4486443816793246,1.4809766660306878,1.4901443816793247,14.415,0.10337456688722337,1.4506810958920064,15.0
LaLiga,2223,3918094,2023-01-06,10268,9910,1,0,1.0430052652955055,0.8828617975115776,0,13,-0.02075,1.280750919935282,1.4809766660306878,1.260000919935282,13.2075,0.0954004103679941,1.4506810958920064,15.0
LaLiga,2223,3918096,2023-01-06,8385,10267,0,1,0.44067732989788055,0.44067732989788055,0,6,0.0,0.6392822718710206,1.4809766660306878,0.6392822718710206,6.0,0.10654704531183677,1.4506810958920064,15.0
LaLiga,2223,3918096,2023-01-06,10267,8385,1,0,0.44182003755122423,0.44182003755122423,0,11,0.0,0.6409399762618574,1.4809766660306878,0.6409399762618574,11.0,0.05826727056925976,1.4506810958920064,15.0
LaLiga,2223,3918090,2023-01-07,10281,8661,0,0,0.610995939001441,0.46469028256833556,0,9,0.0,0.6740176252458179,1.4809766660306878,0.6740176252458179,9.0,0.07489084724953532,1.4504663655123873,15.2
LaLiga,2223,3918090,2023-01-07,8661,10281,1,1,1.2840848006308079,0.9856468312442302,0,13,0.0,1.4296475769936199,1.4809766660306878,1.4296475769936199,13.0,0.10997289053797075,1.4504663655123873,15.2
LaLiga,2223,3918091,2023-01-07,7732,8558,0,2,1.2484462261199951,0.841199491173029,0,12,0.0,1.2201315686326129,1.4809766660306878,1.2201315686326129,12.0,0.1016776307193844,1.4504663655123873,15.2
LaLiga,2223,3918091,2023-01-07,8558,7732,1,2,1.4655914651229978,0.7496369795873761,0,12,0.0,1.087323225235785,1.4809766660306878,1.087323225235785,12.0,0.09061026876964874,1.4504663655123873,15.2
LaLiga,2223,3918097,2023-01-07,8633,10205,0,1,1.4727360177785158,0.850294204428792,1,12,0.0,1.2333231443140769,1.4809766660306878,1.4833231443140769,13.0,0.11410178033185206,1.4504663655123873,15.2
LaLiga,2223,3918097,2023-01-07,10205,8633,1,2,2.2639505565166473,1.3611222192645074,1,16,0.0,1.9742619983947447,1.4809766660306878,2.224261998394745,17.0,0.13083894108204383,1.4504663655123873,15.2
LaLiga,2223,3918089,2023-01-08,8634,9906,0,1,0.6644215742126107,0.6644215742126107,0,10,0.02075,0.9653287230448554,1.4809766660306878,0.9860787230448554,10.2075,0.09660335273522953,1.4528858792534576,15.5
LaLiga,2223,3918089,2023-01-08,9906,8634,1,0,1.8396197836846113,1.260680815204978,0,20,0.02075,1.83162535465705,1.4809766660306878,1.85237535465705,20.2075,0.09166771518777929,1.4528858792534576,15.5
LaLiga,2223,3918092,2023-01-08,8560,9865,0,2,1.8951996937394142,0.7623862728476525,0,9,0.0,1.107660250357028,1.4809766660306878,1.107660250357028,9.0,0.1230733611507809,1.4528858792534576,15.5
LaLiga,2223,3918092,2023-01-08,9865,8560,1,0,0.5747641492635012,0.4525969926267862,0,6,0.0,0.657571779580039,1.4809766660306878,0.657571779580039,6.0,0.10959529659667316,1.4528858792534576,15.5
LaLiga,2223,3918093,2023-01-08,8603,8370,0,2,0.9492187295109034,0.837254487350583,0,14,0.0,1.2164352220132548,1.4809766660306878,1.2164352220132548,14.0,0.08688823014380391,1.4528858792534576,15.5
