pid,season,name,min,value,box,pm,pir40
P004903,E2017,"GOUDELOCK, ANDREW",653.79,-5.374093420428891,-6.4800877628173,1.105994342388409,15.400680118014439
P004941,E2017,"ANTONOV, SEMEN",465.63,2.0593801991339182,1.551994020118625,0.5073861790152931,12.60343098166311
P004974,E2017,"ROLL, MICHAEL",760.01,-3.1064807947716595,-2.9016622578856275,-0.2048185368860318,14.521783079450358
P005001,E2017,"SANDERS, RAKIM",304.43,-1.8429658538349862,-0.4589784977389483,-1.3839873560960378,15.451075998709552
P005014,E2017,"JENKINS, CHARLES",705.52,-1.7399535925091658,-0.6720958656884688,-1.067857726820697,9.39626411033631
P005094,E2017,"THOMAS, DESHAUN",679.12,-2.4618189732168494,-2.7565616853287542,0.29474271211190506,16.02946743269086
P005099,E2017,"HANGA, ADAM",644.05,-3.1786953779745044,-1.199385135402041,-1.9793102425724634,15.064684720325385
P005112,E2017,"JACKSON, PIERRE",744.79,-4.1475828071987735,-3.1181923273432512,-1.0293904798555222,21.64902362262586
P005145,E2017,"COHEN, JAKE",142.73,0.9773891640964937,1.8756807680392935,-0.8982916039427998,13.879119458485164
P005159,E2017,"GREEN, ERICK",686.36,-2.9055373710954617,-2.8092336270090614,-0.09630374408640041,21.375551485525843
P005160,E2017,"HUNTER, OTHELLO",579.11,7.586709199151258,7.789014092900925,-0.2023048937496671,22.98431574584103
P005161,E2017,"PAPAPETROU, IOANNIS",681.56,-3.46620302256805,-3.067057647064482,-0.39914537550356755,11.936228397254343
P005216,E2017,"MCCOLLUM, ERRICK",776.84,-4.696716945579429,-5.267491277458683,0.5707743318792542,18.576796982526005
P005327,E2017,"DIAGNE, ATOUMANE",7.93,-0.27340836252665635,-0.05003692281872285,-0.2233714397079335,16.389128751580685
P005348,E2017,"ARNA, EGEHAN",3.17,-0.4102376029051422,-0.46981827546433635,0.05958067255919415,17.532990851585765
P005363,E2017,"OKOUO, VINY",99.4,-0.4349459776666441,0.6305247121464411,-1.0654706898130852,13.48484787441376
P005368,E2017,"YUSTA, SANTI",110.98,-1.216426312067525,-1.6174180051148483,0.40099169304732335,15.209397412826352
P005458,E2017,"GARCIA, SERGI",103.83,-4.550752724652945,-3.902681821134135,-0.6480709035188092,13.584254850405259
P005519,E2017,"SAJUS, MARTYNAS",36.089999999999996,-2.770183567683061,-2.383223037815339,-0.3869605298677217,11.52824356057097
P005713,E2017,"KURUCS, RODIONS",16.12,0.07289245042215647,-0.09747267876531868,0.17036512918747515,13.85531059385208
