comp,utc,home,away,hid,aid,νεκρη,R_home,R_away,val_adj,xg_h_D,xg_a_D,xg_h_A_D,xg_a_A_D,xg_h_AV_D,xg_a_AV_D,val_src,V_h,V_a,Vh_raw,Va_raw,diff,xg_h,xg_a,P1,PX,P2,fair_1,fair_X,fair_2,fair_line,fair_m05,fair_p05,diff_A,xg_h_A,xg_a_A,P1_A,PX_A,P2_A,R_home_A,R_away_A,diff_AV,xg_h_AV,xg_a_AV,P1_AV,PX_AV,P2_AV
NL A,2026-10-02T18:45,Belgium,Turkiye,8263,6595,,1911,1811,6,1.924,1.214,2.003,0.864,1.936,0.951,κληση/κληση,282.3,252.2,282303154,252228689.0,166,1.98,1.16,53,29,17,1.88,3.41,5.75,-0.75 @1.83,1.83,1.27,226,1.98,0.88,60,26,14,1963,1797,233,2.01,0.88,61,26,13
NL A,2026-10-02T18:45,France,Italy,6723,8204,,2031,1847,39,2.161,0.951,2.263,0.9,2.302,0.99,κληση/κληση,769.7,385.1,769702173,385136714.0,283,2.25,0.86,68,22,10,1.47,4.57,9.81,-1.50 @2.26,1.49,1.14,271,2.24,0.92,66,23,11,2136,1925,310,2.4,0.89,70,21,9
NL B,2026-10-02T18:45,Bosnia and Herzegovina,Sweden,10106,8520,,1619,1721,-88,1.136,1.692,0.895,1.381,0.892,1.675,κληση/κληση,60.8,293.8,60834027,293758267.0,-130,1.1,1.73,19,31,50,5.18,3.27,2.0,+0.25 @2.03,4.29,2.03,-96,0.9,1.37,22,32,46,1639,1796,-185,0.83,1.73,15,27,58
NL B,2026-10-02T18:45,Hungary,Georgia,8565,8268,,1739,1619,-1,1.885,1.117,1.778,1.073,1.718,1.129,κληση/κληση,160.0,162.6,160000334,162627334.0,179,1.94,1.06,55,29,16,1.82,3.5,6.1,-0.75 @1.78,1.78,1.25,140,1.77,1.09,49,31,20,1699,1619,139,1.76,1.09,49,31,20
NL B,2026-10-02T18:45,Poland,Romania,8568,9730,,1708,1619,35,1.896,1.107,1.933,1.036,1.995,1.091,κληση/κληση,122.3,65.1,122304793,65147224.0,185,1.95,1.05,56,28,16,1.79,3.54,6.24,-0.75 @1.76,1.76,1.24,178,1.92,1.05,54,29,17,1710,1592,213,2.06,1.02,59,27,14
NL B,2026-10-02T18:45,Ukraine,Northern Ireland,6718,10259,,1772,1615,40,1.942,0.841,1.85,1.063,1.94,1.107,κληση/κληση,152.0,73.9,151989139,73859574.0,257,2.02,0.76,65,24,11,1.54,4.24,8.7,-1.00 @1.85,1.53,1.15,156,1.84,1.08,51,30,19,1716,1619,197,2.0,1.05,57,28,16
NL C,2026-10-02T18:45,Faroe Islands,Slovakia,8269,8497,,1400,1655,-133,0.723,2.128,0.701,1.75,0.721,2.169,κληση/κληση,3.1,33.5,3109737,33467925.0,-328,0.62,2.23,8,18,74,12.92,5.51,1.35,+1.50 @1.96,11.59,3.64,-208,0.72,1.73,14,26,61,1388,1657,-342,0.61,2.28,7,17,76
NL C,2026-10-03T13:00,Finland,Albania,7871,10024,,1571,1588,-46,1.153,1.167,1.274,1.125,1.143,1.212,κληση/κληση,24.3,55.0,24274475,54976148.0,-3,1.15,1.17,32,34,34,3.14,2.92,2.95,+0.00 @2.02,2.92,1.54,30,1.27,1.13,35,34,31,1556,1587,-16,1.14,1.22,30,34,36
NL A,2026-10-03T16:00,Croatia,England,10155,8491,,1818,1983,-65,0.987,1.713,0.96,1.765,0.994,1.945,κληση/κληση,238.2,756.6,238203726,756557560.0,-170,0.93,1.77,16,28,55,6.16,3.52,1.81,+0.25 @2.24,5.22,2.24,-160,0.97,1.75,17,29,54,1848,2068,-225,0.92,2.01,13,25,63
NL C,2026-10-03T16:00,Belarus,San Marino,10057,6035,,1523,893,98,3.708,0.339,3.152,0.168,3.283,0.359,κληση/κληση,10.5,1.8,10487155,1831868.0,788,3.95,0.15,97,2,1,1.03,41.68,127.69,-1.50 @1.14,1.04,1.0,593,3.1,0.22,91,7,2,1390,857,690,3.5,0.15,95,4,1
NL C,2026-10-03T16:00,Estonia,Luxembourg,8261,5792,,1413,1478,-48,1.062,1.289,1.022,1.26,1.018,1.424,κληση/κληση,8.3,19.7,8321749,19719174.0,-53,1.04,1.31,26,33,40,3.79,2.99,2.49,+0.25 @1.7,3.48,1.7,-47,1.03,1.26,27,34,40,1343,1450,-96,0.99,1.45,22,32,46
NL C,2026-10-03T16:00,Iceland,Bulgaria,8536,10150,,1624,1463,53,1.931,0.758,1.932,0.655,2.032,0.731,κληση/κληση,58.9,22.8,58921368,22812106.0,274,2.02,0.67,67,22,11,1.49,4.45,9.42,-1.00 @1.77,1.49,1.12,254,1.91,0.68,64,24,12,1607,1413,307,2.13,0.64,70,21,9
NL A,2026-10-03T18:45,Spain,Czechia,6720,8496,,2135,1709,118,3.367,0.786,3.349,0.622,3.576,0.783,κληση/κληση,796.1,97.6,796068562,97607700.0,603,3.55,0.6,92,6,2,1.09,16.78,48.84,-1.50 @1.33,1.12,1.03,542,3.3,0.67,89,8,3,2184,1703,659,3.78,0.58,94,5,2
NL B,2026-10-03T18:45,North Macedonia,Scotland,8260,8498,,1546,1714,-91,0.838,1.689,0.812,1.499,0.824,1.788,κληση/κληση,22.5,114.1,22488522,114077295.0,-199,0.78,1.75,14,27,59,7.02,3.75,1.69,+1.00 @1.82,6.35,2.43,-137,0.82,1.49,19,30,51,1522,1719,-228,0.75,1.86,12,25,63
NL B,2026-10-03T18:45,Switzerland,Slovenia,6717,5787,,1874,1655,70,2.321,0.832,2.262,0.738,2.404,0.826,κληση/κληση,192.1,55.4,192055383,55362675.0,348,2.43,0.72,75,18,7,1.34,5.66,13.43,-1.50 @1.95,1.36,1.1,303,2.23,0.76,69,21,10,1882,1640,372,2.52,0.71,77,17,7
NL D,2026-10-04T13:00,Azerbaijan,Lithuania,8566,8254,,1392,1358,-34,1.28,1.023,1.434,0.954,1.27,1.008,κληση/κληση,6.9,12.5,6888232,12522298.0,60,1.3,1.0,39,34,27,2.53,2.98,3.72,+0.00 @1.67,2.39,1.38,95,1.43,0.96,43,33,24,1362,1326,62,1.29,0.99,39,34,27
NL B,2026-10-04T16:00,Kosovo,Austria,430156,8255,,1676,1800,-21,1.193,1.555,1.185,1.464,1.197,1.522,κληση/κληση,98.7,144.2,98672307,144210671.0,-85,1.17,1.58,23,33,44,4.29,3.07,2.27,+0.25 @1.83,3.67,1.83,-55,1.19,1.46,26,33,41,1679,1794,-77,1.17,1.55,24,33,43
NL D,2026-10-04T16:00,Malta,Andorra,8495,10045,,1358,1154,53,1.947,0.593,1.813,0.83,1.934,0.883,κληση/κληση,8.1,3.2,8123482,3166499.0,316,2.05,0.49,72,20,9,1.4,5.08,11.52,-1.50 @2.12,1.38,1.08,195,1.8,0.85,56,28,16,1336,1201,248,2.01,0.81,63,25,12
NL A,2026-10-04T18:45,Greece,Germany,6383,8570,,1731,1923,-30,0.955,1.644,0.919,1.815,0.976,1.855,κληση/κληση,200.3,339.6,200306417,339608575.0,-161,0.9,1.69,17,29,54,5.93,3.46,1.84,+0.25 @2.19,5.16,2.19,-178,0.93,1.8,16,28,57,1788,2026,-207,0.91,1.92,14,26,60
